#  Table WFC3.IR.G141.1st.sens.2.fits[1]  Tue 03:23:23 11-Jan-2011

# row      WAVELENGTH     SENSITIVITY           ERROR
#                                                    

  633          10582.     5.931803E14     4.217239E13
  634          10583.     5.962228E14     4.212419E13
  635          10584.     5.992663E14     4.207336E13
  636          10585.     6.023108E14     4.201990E13
  637          10586.     6.053565E14     4.196382E13
  638          10587.     6.084032E14     4.190511E13
  639          10588.     6.114510E14     4.184377E13
  640          10589.     6.144998E14     4.177980E13
  641          10590.     6.175497E14     4.171319E13
  642          10591.     6.206007E14     4.164395E13
  643          10592.     6.236527E14     4.157207E13
  644          10593.     6.267058E14     4.149756E13
  645          10594.     6.297600E14     4.142041E13
  646          10595.     6.328152E14     4.134062E13
  647          10596.     6.358715E14     4.125818E13
  648          10597.     6.389289E14     4.117310E13
